
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
343.618 137.447 120.266 0.115342 0.0903428 244.876 
CV Recruit
0.526038 
Alternative 1 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2032 343.618 137.447 120.266 190.362 195.497 196.291 205.323 4.67376 
2033 343.618 137.447 120.266 183.665 191.267 192.549 205.434 6.94289 
2034 343.618 137.447 120.266 177.471 188.67 189.907 206.762 9.27787 
2035 343.618 137.447 120.266 172.663 186.863 188.099 208.696 11.4066 
2036 343.618 137.447 120.266 168.705 185.305 186.884 210.805 13.2007 
2037 343.618 137.447 120.266 165.614 184.162 186.046 212.23 14.6458 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2024  0 0.0990105 0.119243 0.0713322 0.0713322 0.0713322 0.0713322 5.55112e-17 
2025  0 0.0990105 0.119243 0.039302 0.0393027 0.0393026 0.039303 3.06623e-07 
2026  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2027  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2028  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2029  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2030  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2031  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2032  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2033  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2034  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2035  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2036  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 
2037  0 0.0990105 0.119243 0.0638806 0.0638806 0.0638806 0.0638806 2.91434e-16 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2024 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 2.04636e-12 
2025 1785.64 465.616 428.615 647.344 649.856 650.615 656.326 2.97097 
2026 1785.64 465.616 428.615 636.755 643.645 644.643 656.953 6.51087 
2027 1785.64 465.616 428.615 615.561 627.281 629.347 649.354 11.0327 
2028 1785.64 465.616 428.615 595.916 612.959 616.111 646.535 16.2694 
2029 1785.64 465.616 428.615 576.459 601.762 604.832 644.263 21.7824 
2030 1785.64 465.616 428.615 559.354 593.098 595.518 644.521 27.2294 
2031 1785.64 465.616 428.615 543.509 584.688 588.131 646.035 32.273 
2032 1785.64 465.616 428.615 530.714 578.408 582.457 649.377 36.8871 
2033 1785.64 465.616 428.615 519.609 572.66 578.105 649.009 40.8795 
2034 1785.64 465.616 428.615 510.651 568.744 574.831 650.602 44.5113 
2035 1785.64 465.616 428.615 502.603 566.156 572.382 651.999 47.7305 
2036 1785.64 465.616 428.615 495.237 565.226 570.595 654.159 50.6952 
2037 1785.64 465.616 428.615 491.587 565.546 569.162 652.957 53.3006 
Alternative 5 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 25.3018 27.0643 29.794 29.794 29.794 29.794 3.62377e-13 
2025  0 25.3018 27.0643 16.1515 16.1515 16.1515 16.1515 4.53472e-10 
2026  0 25.3018 27.0643 0 0 0 0 0 
2027  0 25.3018 27.0643 0 0 0 0 0 
2028  0 25.3018 27.0643 0 0 0 0 0 
2029  0 25.3018 27.0643 0 0 0 0 0 
2030  0 25.3018 27.0643 0 0 0 0 0 
2031  0 25.3018 27.0643 0 0 0 0 0 
2032  0 25.3018 27.0643 0 0 0 0 0 
2033  0 25.3018 27.0643 0 0 0 0 0 
2034  0 25.3018 27.0643 0 0 0 0 0 
2035  0 25.3018 27.0643 0 0 0 0 0 
2036  0 25.3018 27.0643 0 0 0 0 0 
2037  0 25.3018 27.0643 0 0 0 0 0 

Spawning_Biomass Model_1_goa_pop_2023.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2024 343.618 137.447 120.266 234.441 234.441 234.441 234.441 8.81073e-13 
2025 343.618 137.447 120.266 230.583 230.591 230.593 230.612 0.00954066 
2026 343.618 137.447 120.266 232.746 232.784 232.791 232.863 0.0384862 
2027 343.618 137.447 120.266 239.168 239.289 239.31 239.539 0.118629 
2028 343.618 137.447 120.266 244.61 244.925 244.979 245.574 0.31083 
2029 343.618 137.447 120.266 248.533 249.292 249.413 250.795 0.724375 
2030 343.618 137.447 120.266 250.952 252.568 252.81 255.755 1.52665 
2031 343.618 137.447 120.266 252.096 255.228 255.715 261.145 2.9076 
2032 343.618 137.447 120.266 252.491 257.931 258.755 268.232 4.96156 
2033 343.618 137.447 120.266 252.654 260.763 262.238 276.366 7.55708 
2034 343.618 137.447 120.266 252.545 264.759 266.22 285.249 10.3783 
2035 343.618 137.447 120.266 252.828 268.926 270.517 294.254 13.1232 
2036 343.618 137.447 120.266 253.521 273.376 274.965 302.806 15.6173 
2037 343.618 137.447 120.266 254.303 277.457 279.388 311.481 17.7986 

Fishing_mortalityModel_1_goa_pop_2023.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2024  0 0.0990105 0.119243 0.0713322 0.0713322 0.0713322 0.0713322 5.55112e-17 
2025  0 0.0990105 0.119243 0.039302 0.0393027 0.0393026 0.039303 3.06623e-07 
2026  0 0.0990105 0.119243 0 0 0 0 0 
2027  0 0.0990105 0.119243 0 0 0 0 0 
2028  0 0.0990105 0.119243 0 0 0 0 0 
2029  0 0.0990105 0.119243 0 0 0 0 0 
2030  0 0.0990105 0.119243 0 0 0 0 0 
2031  0 0.0990105 0.119243 0 0 0 0 0 
2032  0 0.0990105 0.119243 0 0 0 0 0 
2033  0 0.0990105 0.119243 0 0 0 0 0 
2034  0 0.0990105 0.119243 0 0 0 0 0 
2035  0 0.0990105 0.119243 0 0 0 0 0 
2036  0 0.0990105 0.119243 0 0 0 0 0 
2037  0 0.0990105 0.119243 0 0 0 0 0 

Total_BiomassModel_1_goa_pop_2023.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2024 1785.64 465.616 428.615 670.712 670.712 670.712 670.712 2.04636e-12 
2025 1785.64 465.616 428.615 647.344 649.856 650.615 656.326 2.97097 
2026 1785.64 465.616 428.615 636.755 643.645 644.643 656.953 6.51087 
2027 1785.64 465.616 428.615 641.422 653.153 655.216 675.239 11.0386 
2028 1785.64 465.616 428.615 645.844 662.938 666.063 696.539 16.3048 
2029 1785.64 465.616 428.615 648.494 673.942 676.994 716.723 21.903 
2030 1785.64 465.616 428.615 651.426 685.245 688.033 737.834 27.5323 
2031 1785.64 465.616 428.615 653.748 695.876 699.197 758.106 32.8938 
2032 1785.64 465.616 428.615 657.244 705.996 710.417 780.254 37.9849 
2033 1785.64 465.616 428.615 660.459 716.337 721.436 796.492 42.619 
2034 1785.64 465.616 428.615 664.23 724.994 732.203 813.045 47.037 
2035 1785.64 465.616 428.615 668.75 735.824 742.61 827.713 51.1706 
2036 1785.64 465.616 428.615 671.883 747.223 752.669 844.674 55.1275 
2037 1785.64 465.616 428.615 676.81 757.282 762.17 858.832 58.7872 
Alternative 6 Alternative  Stock: Model_1_goa_pop_2023.dat
Catch Model_1_goa_pop_2023.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 25.3018 27.0643 29.794 29.794 29.794 29.794 3.62377e-13 
2025  0 25.3018 27.0643 47.5178 47.5181 47.5182 47.5189 0.00037647 
2026  0 25.3018 27.0643 44.4616 44.4685 44.4703 44.485 0.00783491 
