"","YEAR","HAUL_DATE","SPECIES","FMP_AREA","EXTRAPOLATED_WEIGHT"
"472",2018,2018-09-10,301,"GOA",1636.43
"473",2018,2018-09-11,301,"GOA",6274.64
"474",2018,2018-09-11,301,"GOA",446.9
"475",2018,2018-09-11,301,"GOA",3524.34
"476",2018,2018-09-14,301,"GOA",2069.81
"477",2018,2018-09-16,301,"GOA",1801.12
"478",2018,2018-09-16,301,"GOA",5635.73
"479",2018,2018-08-29,301,"GOA",579.96
"480",2018,2018-08-31,301,"GOA",7519.26
"481",2018,2018-09-02,301,"GOA",544.36
"482",2018,2018-10-24,301,"GOA",9773.68
"483",2018,2018-10-24,301,"GOA",41672
"484",2018,2018-10-24,301,"GOA",45017
"485",2018,2018-07-22,301,"GOA",34131.84
"486",2018,2018-10-28,301,"GOA",32914.48
"487",2018,2018-10-28,301,"GOA",5355.05
"488",2018,2018-11-03,301,"GOA",55061.98
"489",2018,2018-11-03,301,"GOA",49777.13
"490",2018,2018-11-03,301,"GOA",48213.48
"491",2018,2018-11-04,301,"GOA",34592
"492",2018,2018-11-06,301,"GOA",32476.84
"493",2018,2018-11-07,301,"GOA",15721
"494",2018,2018-11-09,301,"GOA",10956.46
"495",2018,2018-07-18,301,"GOA",47088.99
"496",2018,2018-07-18,301,"GOA",50320.79
"497",2018,2018-07-19,301,"GOA",46637.44
"498",2018,2018-07-19,301,"GOA",4619.95
"499",2018,2018-07-20,301,"GOA",1149.31
"500",2018,2018-07-20,301,"GOA",3256.93
"501",2018,2018-09-20,301,"GOA",14797.47
"502",2018,2018-10-24,301,"GOA",44928.24
"503",2018,2018-05-24,301,"GOA",2994
"504",2018,2018-05-24,301,"GOA",28062
"505",2018,2018-05-24,301,"GOA",24754
"506",2018,2018-03-23,301,"GOA",17.82
"507",2018,2018-03-26,301,"GOA",61.5
"508",2018,2018-07-03,301,"GOA",46890.22
"509",2018,2018-07-03,301,"GOA",20387.94
"510",2018,2018-07-03,301,"GOA",31924.67
"511",2018,2018-07-04,301,"GOA",17623.41
"512",2018,2018-07-04,301,"GOA",11814.41
"513",2018,2018-07-04,301,"GOA",19564.42
"514",2018,2018-07-04,301,"GOA",10379.36
"515",2018,2018-07-05,301,"GOA",26413.5
"516",2018,2018-07-11,301,"GOA",24694.26
"517",2018,2018-07-11,301,"GOA",31267.45
"518",2018,2018-12-18,301,"GOA",313.39
"519",2018,2018-12-18,301,"GOA",1879.33
"520",2018,2018-10-17,301,"GOA",160.74
"521",2018,2018-12-06,301,"GOA",4847.17
"522",2018,2018-12-06,301,"GOA",927.94
"523",2018,2018-12-06,301,"GOA",1982.1
"524",2018,2018-12-07,301,"GOA",932.45
"525",2018,2018-12-08,301,"GOA",3192.81
"526",2018,2018-12-08,301,"GOA",4389.88
"527",2018,2018-12-10,301,"GOA",298.67
"528",2018,2018-12-10,301,"GOA",97.86
"529",2018,2018-12-12,301,"GOA",15.38
"530",2018,2018-12-13,301,"GOA",242.65
"531",2018,2018-11-06,301,"GOA",5.15
"532",2018,2018-11-07,301,"GOA",5.15
"533",2018,2018-12-18,301,"GOA",2679.2
"534",2018,2018-11-07,301,"GOA",2.58
"535",2018,2018-04-14,301,"GOA",470.99
"536",2018,2018-04-15,301,"GOA",326
"537",2018,2018-04-15,301,"GOA",164.31
"538",2018,2018-04-15,301,"GOA",78.32
"539",2018,2018-04-16,301,"GOA",136.29
"540",2018,2018-04-16,301,"GOA",78.85
"541",2018,2018-04-17,301,"GOA",154.01
"542",2018,2018-04-18,301,"GOA",14.11
"543",2018,2018-04-20,301,"GOA",19.08
"544",2018,2018-12-04,301,"GOA",11.15
"545",2018,2018-08-11,301,"GOA",11777.21
"546",2018,2018-08-11,301,"GOA",7830.51
"547",2018,2018-08-11,301,"GOA",4224.13
"548",2018,2018-08-11,301,"GOA",5729.7
"549",2018,2018-08-12,301,"GOA",2265.7
"550",2018,2018-08-12,301,"GOA",4480.99
"551",2018,2018-08-13,301,"GOA",3057.8
"552",2018,2018-08-13,301,"GOA",1188.12
"553",2018,2018-07-05,301,"GOA",32999.04
"554",2018,2018-07-05,301,"GOA",25546.91
"555",2018,2018-07-05,301,"GOA",24914.01
"556",2018,2018-07-06,301,"GOA",11855.95
"557",2018,2018-08-13,301,"GOA",3777.46
"558",2018,2018-08-13,301,"GOA",2472.78
"559",2018,2018-08-13,301,"GOA",1543.01
